area;T_UA;Ach_sat;Act_pol;Alt_bra;Alt_mar;And_bic;And_leu;And_sel;And_tri;Ari_cir;Bac_gna;Bac_lon;Bac_tri;Bar_bet;Can_ros;Car_ram;Cen_asi;Cen_ech;Chl_ret;Chr_fle;Coc_cap;Cyp_lig;Cyp_obt;Cyp_ped;Cyp_rig;Dal_eca;Des_ads;Dic_sab;Dod_vis;Dro_sp.;Dys_amb;Ele_lae;Epi_ful;Era_bah;Era_cat;Eri_mod;Eup_hys;Eus_dis;Evo_pus;Gam_ame;Gym_leg;Hex_api;Hex_rad;Hyd_bon;Hyp_dec;Imp_bra;Ind_sab;Ipo_imp;Isc_min;Jun_mar;Lau_tet;Lob_hed;Mel_pen;Mic_cor;Not_hat;Old_sal;One_mol;Oxy_tom;Pan_dic;Pan_rac;Pas_are;Pas_pum;Pas_ram;Pas_vag;Pet_lit;Pla_cat;Ple_lep;Pol_cyp;Por_rud;Pte_ang;Pte_lor;Rhy_bar;Rhy_hol;Rhy_ten;Sau_ere;Sch_mic;Sch_ter;Scl_dis;Sco_dul;Sen_pla;Smi_cam;Sol_ame;Sol_pel;Spa_cil;Spa_sp.;Spo_vir;Ste_dec;Sty_vis;Syn_chr;Tel_ser;Tib_urv;Tri_par;Vit_meg;Vri_vag;Xyr_gua
BAL;T1P13;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0.1;0;0;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.5;0;0;0;0;0;0;0
BAL;T1P19;0;0;0;0;0;0;37.5;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.5;0;0;0;0;0;0;0
BAL;T1P21;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;15;0;0.1;0;0;0;0;0;0;0.1;15;0;0;0;0;15;0;0;0;0;0;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAL;T1P23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;15;0;0;0;0;15;0;0;0;0;0;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAL;T1P25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;87.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0
BAL;T1P27;0.1;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;37.5;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;62.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0
BAL;T1P31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0
BAL;T2P15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0.5;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;15;0;0;0;0;0;0;0
BAL;T2P17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;87.5;0;0.1;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0.1;0;0;2.5;0;0;0
BAL;T2P19;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;2.5;0;0;0;0.1;0;0;0;0;0;0;0;15;0;37.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;15;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0
BAL;T2P21;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;2.5;0;0;2.5
BAL;T2P23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0
BAL;T2P25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0
BAL;T2P27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;87.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAL;T2P29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0
BAL;T3P17;0;0;0;0;0;0;0;0;0;0.1;0;0;0.5;0;0;2.5;0;0;0;0;15;0.1;0;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.5;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;2.5;0;0;0
BAL;T3P19;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;15;0;0;0;62.5;0;0;0;0;0;0;0;0;2.5;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.5;0;0;2.5;0;0;0
BAL;T3P21;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;2.5;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0.1;0;0;0;0.5;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0
BAL;T3P23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;37.5;15;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAL;T3P25;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0.1;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0
BAL;T3P33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0.1;0;0;0;87.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAL;T3P35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;87.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0
BAL;T3P37;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.5;0;0;0.5;0;0;0
BAL;T3P39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;62.5;0;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0
